"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT11"
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-27","0.00","0.0","0.0","58","45","52",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-28","0.00","0.0","0.0","58","40","45",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-29","0.67","0.0","0.0","53","43","47",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-30","0.00","0.0","0.0","51","28","43",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-03-31","0.00","0.0","0.0","55","43","55",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-01","0.83","0.0","0.0","55","48","49",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-02","0.01","0.0","0.0","50","31","35",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-03","0.00","0.0","0.0","44","30","37",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-04","0.00","0.0","0.0","47","28","45",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-05","0.00","0.0","0.0","56","42","43",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-06","0.00","0.0","0.0","53","35","46",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-07","0.00","0.0","0.0","56","38","40",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-08","0.00","0.0","0.0","58","39","50",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-09","0.00","0.0","0.0","58","38","47","    1",,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-10","0.00","0.0","0.0","61","41","47","    1",,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-11","0.01","0.0","0.0","58","46","53","    1",,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-12","0.00","0.0","0.0","53","44","52",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-13","0.00","0.0","0.0","52","41","50",,,
"USC00192501","EDGARTOWN, MA US","41.3854","-70.518","9.1","2021-04-14","0.00","0.0","0.0","51","36","50",,,
